,subject,passive,target,tone,frequency,dB,sub_num,passive_order,accuracy
61,19,False,200.0,130,129.87012987012986,0.8810956918966518,19,1,high
62,19,False,280.0,130,129.87012987012986,1.3063468877148252,19,1,high
63,19,True,,130,129.87012987012986,1.1851540156790028,19,1,high
64,20,False,130.0,130,129.87012987012986,7.40584214358374,20,2,high
65,20,False,200.0,130,129.87012987012986,1.8143809453619144,20,2,high
66,20,False,280.0,130,129.87012987012986,3.375451576973597,20,2,high
67,20,True,,130,129.87012987012986,8.40210678059344,20,2,high
68,21,False,130.0,130,129.87012987012986,4.017171526354396,21,1,low
69,21,False,200.0,130,129.87012987012986,5.480346747778016,21,1,low
70,21,False,280.0,130,129.87012987012986,6.47831501427172,21,1,low
71,21,True,,130,129.87012987012986,10.397616530039638,21,1,low
72,22,False,130.0,130,129.87012987012986,-1.4036158401715193,22,2,low
73,22,False,200.0,130,129.87012987012986,2.716870597479004,22,2,low
74,22,False,280.0,130,129.87012987012986,2.232746534848753,22,2,low
75,22,True,,130,129.87012987012986,5.885778272134496,22,2,low
76,23,False,130.0,130,129.87012987012986,1.5274362301926296,23,1,low
77,23,False,200.0,130,129.87012987012986,3.355248328171512,23,1,low
78,23,False,280.0,130,129.87012987012986,0.8369521029362865,23,1,low
79,23,True,,130,129.87012987012986,5.942823311796554,23,1,low
80,24,False,130.0,130,129.87012987012986,2.217014385085448,24,2,low
81,24,False,200.0,130,129.87012987012986,3.660342746116258,24,2,low
82,24,False,280.0,130,129.87012987012986,1.3733916174827958,24,2,low
83,24,True,,130,129.87012987012986,9.327508274072162,24,2,low
84,25,False,130.0,130,129.87012987012986,-0.2782426361880686,25,1,low
85,25,False,200.0,130,129.87012987012986,1.151582868824247,25,1,low
86,25,False,280.0,130,129.87012987012986,2.851686850873667,25,1,low
87,25,True,,130,129.87012987012986,1.549347798279127,25,1,low
88,26,False,130.0,130,129.87012987012986,7.600057790666415,26,2,low
89,26,False,200.0,130,129.87012987012986,2.87590047897444,26,2,low
90,26,False,280.0,130,129.87012987012986,7.799612930367504,26,2,low
91,26,True,,130,129.87012987012986,8.91024624206684,26,2,low
92,28,False,130.0,130,129.87012987012986,-4.531687866610269,28,2,high
93,28,False,200.0,130,129.87012987012986,-1.745435905935148,28,2,high
94,28,False,280.0,130,129.87012987012986,0.2660401930705933,28,2,high
95,28,True,,130,129.87012987012986,2.3916536861783504,28,2,high
96,29,False,130.0,130,129.87012987012986,5.788501230912374,29,1,low
97,29,False,200.0,130,129.87012987012986,0.6821529992555633,29,1,low
98,29,False,280.0,130,129.87012987012986,0.7864180867370175,29,1,low
99,29,True,,130,129.87012987012986,2.931962783149149,29,1,low
100,30,False,130.0,130,129.87012987012986,0.2898088829022546,30,2,low
101,30,False,200.0,130,129.87012987012986,2.815495240568943,30,2,low
102,30,False,280.0,130,129.87012987012986,1.101111041499513,30,2,low
103,30,True,,130,129.87012987012986,-1.6542075012277464,30,2,low
104,2,False,130.0,200,199.80019980019975,5.618794720509427,2,1,low
105,2,False,200.0,200,199.80019980019975,-1.5768134528655349,2,1,low
106,2,False,280.0,200,199.80019980019975,5.875911409411513,2,1,low
107,2,True,,200,199.80019980019975,5.65364923906377,2,1,low
108,3,False,130.0,200,199.80019980019975,2.019629285444873,3,2,high
109,3,False,200.0,200,199.80019980019975,0.8633126897421973,3,2,high
110,3,False,280.0,200,199.80019980019975,2.3804637276071485,3,2,high
111,3,True,,200,199.80019980019975,5.687385084808151,3,2,high
112,4,False,130.0,200,199.80019980019975,-0.5238306132254288,4,1,low
113,4,False,200.0,200,199.80019980019975,-1.889262724966112,4,1,low
114,4,False,280.0,200,199.80019980019975,2.94202269886848,4,1,low
115,4,True,,200,199.80019980019975,1.4411666908094265,4,1,low
116,6,False,130.0,200,199.80019980019975,6.1491909767438,6,1,high
117,6,False,200.0,200,199.80019980019975,8.403285870398916,6,1,high
118,6,False,280.0,200,199.80019980019975,6.269090205269388,6,1,high
119,6,True,,200,199.80019980019975,6.024213499447234,6,1,high
120,7,False,130.0,200,199.80019980019975,2.87692045093778,7,2,low
121,7,False,200.0,200,199.80019980019975,0.3849119136285537,7,2,low
122,7,False,280.0,200,199.80019980019975,1.5631711566845885,7,2,low
123,7,True,,200,199.80019980019975,1.9916322318963344,7,2,low
124,8,False,130.0,200,199.80019980019975,4.111981197562566,8,1,high
125,8,False,200.0,200,199.80019980019975,5.248593095351617,8,1,high
126,8,False,280.0,200,199.80019980019975,3.907296461073738,8,1,high
127,8,True,,200,199.80019980019975,11.382243004827012,8,1,high
128,9,False,130.0,200,199.80019980019975,5.478974201922261,9,1,high
129,9,False,200.0,200,199.80019980019975,-2.5927737221522733,9,1,high
130,9,False,280.0,200,199.80019980019975,-2.244302313154991,9,1,high
131,9,True,,200,199.80019980019975,4.398078276789513,9,1,high
132,10,False,130.0,200,199.80019980019975,4.3602150772396016,10,2,high
133,10,False,200.0,200,199.80019980019975,3.923005759437954,10,2,high
134,10,False,280.0,200,199.80019980019975,5.209100244884233,10,2,high
135,10,True,,200,199.80019980019975,5.705438831513977,10,2,high
136,11,False,130.0,200,199.80019980019975,4.561636815123808,11,1,high
137,11,False,200.0,200,199.80019980019975,-1.0463049707644727,11,1,high
138,11,False,280.0,200,199.80019980019975,1.989191771410224,11,1,high
139,11,True,,200,199.80019980019975,2.483064725826412,11,1,high
140,12,False,130.0,200,199.80019980019975,11.259987730719738,12,2,low
141,12,False,200.0,200,199.80019980019975,9.598761510498456,12,2,low
142,12,False,280.0,200,199.80019980019975,7.833342070158489,12,2,low
143,12,True,,200,199.80019980019975,14.763848589290756,12,2,low
144,13,False,130.0,200,199.80019980019975,-2.9768114484282298,13,1,high
145,13,False,200.0,200,199.80019980019975,3.8035528581261846,13,1,high
146,13,False,280.0,200,199.80019980019975,1.739800769571305,13,1,high
147,13,True,,200,199.80019980019975,2.1531870503744703,13,1,high
148,14,False,130.0,200,199.80019980019975,-1.0761954419125423,14,2,high
149,14,False,200.0,200,199.80019980019975,0.5183458786802035,14,2,high
150,14,False,280.0,200,199.80019980019975,1.8427709804420849,14,2,high
151,14,True,,200,199.80019980019975,2.0975911774751568,14,2,high
152,15,False,130.0,200,199.80019980019975,7.089047567098193,15,1,high
153,15,False,200.0,200,199.80019980019975,7.343804612056893,15,1,high
154,15,False,280.0,200,199.80019980019975,6.340145680791172,15,1,high
155,15,True,,200,199.80019980019975,10.54506348840832,15,1,high
